question,dataset,full_question,question_id,split,option1,option2,option3,option4,true_option
Fast-twitch fibres contain:,clinical_knowledge,"Fast-twitch fibres contain: Options: 1. a relatively large number of mitochondria and low ATPase activity, 2. a relatively small number of mitochondria and low ATPase activity, 3. a relatively small number of mitochondria and high ATPase activity, 4. a relatively large number of mitochondria and high ATPase activity.",489,train,a relatively large number of mitochondria and low ATPase activity,a relatively small number of mitochondria and low ATPase activity,a relatively small number of mitochondria and high ATPase activity,a relatively large number of mitochondria and high ATPase activity,3
The enzymes of glycolysis are located in the:,clinical_knowledge,"The enzymes of glycolysis are located in the: Options: 1. mitochondrion, 2. nucleus, 3. cytoplasm, 4. lysosomes.",493,val,mitochondrion,nucleus,cytoplasm,lysosomes,3
"The energy released from the breakdown of the high-energy phosphates, ATP and phosphocreatine, can sustain maximal exertion exercise for about:",clinical_knowledge,"The energy released from the breakdown of the high-energy phosphates, ATP and phosphocreatine, can sustain maximal exertion exercise for about: Options: 1. 1-2 seconds, 2. 5-10 seconds, 3. 30-40 seconds, 4. 50-60 seconds.",497,train,1-2 seconds,5-10 seconds,30-40 seconds,50-60 seconds,2
As a general principle what is the best approach to the use of analgesic drugs following surgery?,clinical_knowledge,"As a general principle what is the best approach to the use of analgesic drugs following surgery? Options: 1. Give drugs only 'as required', 2. Give drugs regularly with provision for additional 'as required' pain relief for breakthrough pain, 3. Use long-acting drugs twice daily, 4. Give only when pain scores are high.",423,train,Give drugs only 'as required',Give drugs regularly with provision for additional 'as required' pain relief for breakthrough pain,Use long-acting drugs twice daily,Give only when pain scores are high,2
Under which circumstances would you not use a catheter valve?,clinical_knowledge,"Under which circumstances would you not use a catheter valve? Options: 1. If the patient is post-operative, 2. If the patient chooses it, 3. If the patient has bladder sensation, 4. If urine does not need to be measured.",414,train,If the patient is post-operative,If the patient chooses it,If the patient has bladder sensation,If urine does not need to be measured,1
Your first action following confirmation of cardiac arrest is to:,clinical_knowledge,"Your first action following confirmation of cardiac arrest is to: Options: 1. ensure the emergency team/services are called, 2. give two rescue breaths, 3. give 30 chest compressions, 4. check the notes to see if the patient has a DNAR order.",436,val,ensure the emergency team/services are called,give two rescue breaths,give 30 chest compressions,check the notes to see if the patient has a DNAR order,1
"Who has legal responsibility for a patient's care during hospital admission, stay, and discharge?",clinical_knowledge,"Who has legal responsibility for a patient's care during hospital admission, stay, and discharge? Options: 1. The named nurse, 2. The named consultant, 3. The ward manager, 4. The GP.",479,val,The named nurse,The named consultant,The ward manager,The GP,2
Which of the following is true of haematemesis?,clinical_knowledge,"Which of the following is true of haematemesis? Options: 1. A low blood pressure (<90mmHg systolic) and a tachycardia (>100/min) are worrying features, 2. A pulse rate of 80/min in a patient taking Bisoprolol is reassuring, 3. Abdominal pain is always present, 4. An alcohol history is not essential.",483,train,A low blood pressure (<90mmHg systolic) and a tachycardia (>100/min) are worrying features,A pulse rate of 80/min in a patient taking Bisoprolol is reassuring,Abdominal pain is always present,An alcohol history is not essential,1
The genome is:,clinical_knowledge,"The genome is: Options: 1. the number of chromosomes found in the somatic cells of an organism, 2. the entire DNA sequence of an organism, 3. the entire list of proteins that an organism is capable of producing, 4. the DNA sequence of an entire chromosome.",415,train,the number of chromosomes found in the somatic cells of an organism,the entire DNA sequence of an organism,the entire list of proteins that an organism is capable of producing,the DNA sequence of an entire chromosome,2
The main fate of lactate that leaves muscle and enters the circulation is:,clinical_knowledge,"The main fate of lactate that leaves muscle and enters the circulation is: Options: 1. conversion to urea in the liver, 2. conversion to glucose in the heart, 3. excretion via the kidneys, 4. uptake and oxidation by other tissues.",454,train,conversion to urea in the liver,conversion to glucose in the heart,excretion via the kidneys,uptake and oxidation by other tissues,4
The most rapid method to resynthesize ATP during exercise is through:,clinical_knowledge,"The most rapid method to resynthesize ATP during exercise is through: Options: 1. glycolysis, 2. phosphocreatine breakdown, 3. tricarboxylic acid cycle (Krebs' cycle), 4. glycogenolysis.",424,train,glycolysis,phosphocreatine breakdown,tricarboxylic acid cycle (Krebs' cycle),glycogenolysis,2
One of the most common reasons for stoma formation is:,clinical_knowledge,"One of the most common reasons for stoma formation is: Options: 1. irritable bowel syndrome, 2. haemorrhoids, 3. carcinoma, 4. bladder instability.",439,test,irritable bowel syndrome,haemorrhoids,carcinoma,bladder instability,3
A surgical support can be used for:,clinical_knowledge,"A surgical support can be used for: Options: 1. prolapsed stomas, 2. high output stomas, 3. herniation around the stoma, 4. retraction of the stoma.",472,train,prolapsed stomas,high output stomas,herniation around the stoma,retraction of the stoma,3
What size of catheter bag may be used at night?,clinical_knowledge,"What size of catheter bag may be used at night? Options: 1. 350ml, 2. 500ml, 3. 1L, 4. 2L.",491,train,350ml,500ml,1L,2L,4
Anaerobic metabolism refers to the generation of ATP:,clinical_knowledge,"Anaerobic metabolism refers to the generation of ATP: Options: 1. without the involvement of ADP, 2. without the use of glycogen, 3. without the use of oxygen, 4. in the absence of available oxygen.",465,train,without the involvement of ADP,without the use of glycogen,without the use of oxygen,in the absence of available oxygen,3
Eccrine and apocrine glands are both types of:,clinical_knowledge,"Eccrine and apocrine glands are both types of: Options: 1. sweat glands, 2. salivary glands, 3. chemoreceptors, 4. tear ducts.",440,train,sweat glands,salivary glands,chemoreceptors,tear ducts,1
"Two of the following are evident - pain at IV site, erythema, and swelling. What stage on the phlebitis scale is this and what should you do?",clinical_knowledge,"Two of the following are evident - pain at IV site, erythema, and swelling. What stage on the phlebitis scale is this and what should you do? Options: 1. Stage 1 - observe cannula, 2. Stage 2 - re-site cannula, 3. Stage 3 - re-site cannula and consider treatment, 4. Stage 0 - do nothing.",444,test,Stage 1 - observe cannula,Stage 2 - re-site cannula,Stage 3 - re-site cannula and consider treatment,Stage 0 - do nothing,2
Measuring the blood pressure in an arm that is above the level of the heart will:,clinical_knowledge,"Measuring the blood pressure in an arm that is above the level of the heart will: Options: 1. accurately estimate the blood pressure, 2. overestimate the blood pressure, 3. cause an auscultatory gap, 4. underestimate the blood pressure.",462,train,accurately estimate the blood pressure,overestimate the blood pressure,cause an auscultatory gap,underestimate the blood pressure,4
When you are taking a musculoskeletal history which of the following is true?,clinical_knowledge,"When you are taking a musculoskeletal history which of the following is true? Options: 1. Drugs may be implicated in the causation of gout, 2. A history of diarrhoea is not relevant, 3. Difficulty rising from a chair is diagnostic of polymyalgic rheumatica, 4. Joint stiffness of 5 minutes duration suggests an arthropathy.",406,train,Drugs may be implicated in the causation of gout,A history of diarrhoea is not relevant,Difficulty rising from a chair is diagnostic of polymyalgic rheumatica,Joint stiffness of 5 minutes duration suggests an arthropathy,1
Which organ secretes insulin?,clinical_knowledge,"Which organ secretes insulin? Options: 1. The gastric parietal cells, 2. The pancreas, 3. The walls of the large intestine, 4. The autonomic nervous system.",410,train,The gastric parietal cells,The pancreas,The walls of the large intestine,The autonomic nervous system,2
"When teaching a patient inhaler technique, how will you ensure that a large proportion of the drug reaches the lower airways?",clinical_knowledge,"When teaching a patient inhaler technique, how will you ensure that a large proportion of the drug reaches the lower airways? Options: 1. Ask them to take lots of small, quick breaths in before using the inhaler, 2. Ask them to breathe normally when using the inhaler, 3. Ask them to perform the procedure as quickly as they can, 4. Ask them to hold their breath at the end of the inspiration on using the inhaler.",488,train,"Ask them to take lots of small, quick breaths in before using the inhaler",Ask them to breathe normally when using the inhaler,Ask them to perform the procedure as quickly as they can,Ask them to hold their breath at the end of the inspiration on using the inhaler,4
